ano,id_municipio,investimento_agua_prestador,investimento_esgoto_prestador,investimento_outro_prestador,investimento_recurso_proprio_prestador,investimento_recurso_oneroso_prestador,investimento_recurso_nao_oneroso_prestador,investimento_total_prestador,investimento_agua_municipio,investimento_esgoto_municipio,investimento_outro_municipio,investimento_recurso_proprio_municipio,investimento_recurso_oneroso_municipio,investimento_recurso_nao_oneroso_municipio,investimento_total_municipio,investimento_agua_estado,investimento_esgoto_estado,investimento_outro_estado,investimento_recurso_proprio_estado,investimento_recurso_oneroso_estado,investimento_recurso_nao_oneroso_estado,investimento_total_estado
2020,3513504,3893434.74,10329217.84,87400.81,,,,15484381.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,3514304,178026.5,106486.36,0.0,,,,306962.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,3514924,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,3515004,11819643.3,6161960.59,2575.0,,,,18651388.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,3515350,254042.8,90130.48,0.0,,,,393016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,3516002,293840.2,121553.57,6270.0,,,,484748.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,3516507,416100.97,31683.56,0.0,,,,522178.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,3517307,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,3519105,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,3520426,452488.44,3728906.67,14900.66,,,,4777154.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,3527108,3201439.58,5257822.32,21803.65,,,,9509963.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,3532207,153920.87,58042.41,895.0,,,,250759.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,3532900,,,,,,,,12784.95,23609.9,0.0,,,,36394.85,0.0,220182.72,0.0,220182.72,0.0,0.0,220182.72
2019,3533403,6544136.13,421505.35,170375.9,3916049.56,0.0,3219967.82,7136017.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,3534708,1335697.11,0.0,95276.1,1430973.21,0.0,0.0,1430973.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,3535200,167952.59,756582.64,24984.24,,,,1050783.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,3535903,46418.97,73278.72,6450.86,,,,137298.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,3538600,1384574.79,1057189.18,0.0,,,,2515061.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,3540705,2454101.83,2386902.61,1626240.91,6467245.35,0.0,0.0,6467245.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,3542909,,,,,,,,212066.1,0.0,0.0,212066.1,0.0,0.0,212066.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,3542909,,,,,,,,483807.34,0.0,0.0,483807.34,0.0,0.0,483807.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,3544509,129626.88,177928.04,6093.81,,,,329330.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,3544608,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,3546405,671601.51,649274.06,10754.1,,,,1623289.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,3548054,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,3548104,75240.1,136273.14,0.0,,,,250204.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,3548609,164145.94,2341139.71,195.79,,,,2685208.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,3548708,90565890.89,143052485.87,0.0,,,,242571757.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,3551405,88920.5,23797.25,0.0,,,,152281.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,3551504,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2019,3552106,979761.34,200930.6,48600.0,,,,1262789.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,3552205,43713893.07,36353338.91,3347896.84,36161296.0,34980165.4,12273667.42,83415128.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,3553302,,,,,,,,152764.45,0.0,0.0,152764.45,0.0,0.0,152764.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,3553302,,,,,,,,280410.03,0.0,0.0,280410.0,176730.38,,457140.41,799887.98,0.0,0.0,799887.98,0.0,0.0,799887.98
2019,3553708,0.0,61300.0,0.0,61300.0,0.0,0.0,61300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,3554102,16445553.78,2741246.24,22078.88,,,,20755267.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1721000,21737534.89,6522942.26,97407.47,17077159.37,11280725.25,0.0,28357884.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,1716109,3745911.88,2130664.57,98364.9,3706717.35,2268224.0,0.0,5974941.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
